condition_id,clob_fills,pm_trades,pm_markets,pm_asset_token_map,gamma_markets,total_sources
293fb49f43b12631ec4ad0617d9c0efc0eacce33416ef16f68521427daca1678,0,0,NOT_FOUND,0,0,0
f2ce8d3897ac5009a131637d3575f1f91c579bd08eecce6ae2b2da0f32bbe6f1,0,0,NOT_FOUND,0,0,0
ef00c9e8b1eb7eb322ccc13b67cfa35d4291017a0aa46d09f3e2f3e3b255e3d0,393,393,open,1,1,5
bff3fad6e9c96b6e3714c52e6d916b1ffb0f52cdfdb77c7fb153a8ef1ebff608,0,0,NOT_FOUND,0,0,0
a491ceedf3da3e6e6b4913c8eff3362caf6dbfda9bbf299e5a628b223803c2e6,1000,1000,open,1,1,5
e9c127a8c35f045d37b5344b0a36711084fa20c2fc1618bf178a5386f90610be,0,0,NOT_FOUND,0,0,0
93ae0bd274982c8c08581bc3ef1fa143e1294a6326d2a2eec345515a2cb15620,1000,1000,open,1,1,5
03bf5c66a49c7f44661d99dc3784f3cb4484c0aa8459723bd770680512e72f82,472,472,open,1,1,5
fae907b4c7d9b39fcd27683e3f9e4bdbbafc24f36765b6240a93b8c94ed206fa,1000,1000,open,1,1,5
340c700abfd4870e95683f1d45cf7cb28e77c284f41e69d385ed2cc52227b307,133,133,open,1,1,5
601141063589291af41d6811b9f20d544e1c24b3641f6996c21e8957dd43bcec,333,333,open,1,1,5
7bdc006d11b7dff2eb7ccbba5432c22b702c92aa570840f3555b5e4da86fed02,537,537,open,1,1,5
ce733629b3b1bea0649c9c9433401295eb8e1ba6d572803cb53446c93d28cd44,0,0,NOT_FOUND,0,0,0
fc4453f83b30fdad8ac707b7bd11309aa4c4c90d0c17ad0c4680d4142d4471f7,0,0,NOT_FOUND,0,0,0