wallet,expected_pnl,expected_gains,expected_losses,actual_pnl,actual_gains,actual_losses,delta_abs,delta_pct,volume_usd,markets_traded,trade_count,source,status
0xc02147dee42356b7a4edbb1c35ac4ffa95f61fa8,135153,174150,38997,0,0,0,-135153,-100,79854705936,84,396,clob_fills_raw,VARIANCE
0x662244931c392df70bd064fa91f838eea0bfd7a9,131523,169515,37992,0,0,0,-131523,-100,416186070,7,22,clob_fills_raw,VARIANCE
0x2e0b70d482e6b389e81dea528be57d825dd48070,152389,199729,47340,0,0,0,-152389,-100,5308178344,62,235,clob_fills_raw,VARIANCE
0x3b6fd06a595d71c70afb3f44414be1c11304340b,158864,210183,51319,0,0,0,-158864,-100,217282555154,718,5285,clob_fills_raw,VARIANCE
0xd748c701ad93cfec32a3420e10f3b08e68612125,142856,198982,56126,0,0,0,-142856,-100,282550117766,70,346,clob_fills_raw,VARIANCE
0x2a019dc0089ea8c6edbbafc8a7cc9ba77b4b6397,101164,142036,40872,0,0,0,-101164,-100,400876929844,500,2517,clob_fills_raw,VARIANCE
0xd06f0f7719df1b3b75b607923536b3250825d4a6,168621,237653,69032,0,0,0,-168621,-100,307067768846,434,2595,clob_fills_raw,VARIANCE
0xa4b366ad22fc0d06f1e934ff468e8922431a87b8,93181,132970,39789,0,0,0,-93181,-100,201397279203,1261,6708,clob_fills_raw,VARIANCE
0xeb6f0a13ea8c5a7a0514c25495adbe815c1025f0,124705,189535,64830,0,0,0,-124705,-100,1726006775248,435,5530,clob_fills_raw,VARIANCE
0x7f3c8979d0afa00007bae4747d5347122af05613,179243,179527,284,0,0,0,-179243,-100,4608137449,36,143,clob_fills_raw,VARIANCE
0x1489046ca0f9980fc2d9a950d103d3bec02c1307,137663,145976,8313,0,0,0,-137663,-100,113540399400,10,77,clob_fills_raw,VARIANCE
0x8e9eedf20dfa70956d49f608a205e402d9df38e4,360492,366546,6054,0,0,0,-360492,-100,830602988750,1856,93405,clob_fills_raw,VARIANCE
0xcce2b7c71f21e358b8e5e797e586cbc03160d58b,94730,205410,110680,0,0,0,-94730,-100,59635828819,45,194,clob_fills_raw,VARIANCE
0x6770bf688b8121331b1c5cfd7723ebd4152545fb,12171,16715,4544,0,0,0,-12171,-100,27958213979,133,440,clob_fills_raw,VARIANCE