wallet,expected_pnl,expected_gains,expected_losses,clob_total_fills,clob_markets_traded,clob_total_buys_usd,clob_total_sells_usd,clob_total_volume_usd,clob_first_trade,clob_last_trade
0xc02147dee42356b7a4edbb1c35ac4ffa95f61fa8,135153,174150,38997,396,84,11677770850.00,68176935086.00,79854705936.00,2024-08-09 14:16:29,2025-11-05 01:08:31
0x662244931c392df70bd064fa91f838eea0bfd7a9,131523,169515,37992,22,7,415413350.00,772720.00,416186070.00,2025-04-11 07:47:39,2025-08-11 17:32:22
0x2e0b70d482e6b389e81dea528be57d825dd48070,152389,199729,47340,235,62,2256440926.00,3051737418.00,5308178344.00,2024-11-14 20:52:58,2025-11-03 23:54:21
0x3b6fd06a595d71c70afb3f44414be1c11304340b,158864,210183,51319,5285,718,213226196320.00,4056358834.00,217282555154.00,2025-02-24 22:04:20,2025-10-18 13:26:30
0xd748c701ad93cfec32a3420e10f3b08e68612125,142856,198982,56126,346,70,60138917560.00,222411200206.00,282550117766.00,2025-07-23 20:11:01,2025-11-05 00:32:09
0x2a019dc0089ea8c6edbbafc8a7cc9ba77b4b6397,101164,142036,40872,2517,500,109610101549.00,291266828295.00,400876929844.00,2024-07-24 12:25:46,2025-11-01 03:57:36
0xd06f0f7719df1b3b75b607923536b3250825d4a6,168621,237653,69032,2595,434,124154243915.00,182913524931.00,307067768846.00,2024-07-13 09:33:20,2025-11-04 18:37:53
0xa4b366ad22fc0d06f1e934ff468e8922431a87b8,93181,132970,39789,6708,1261,88176212718.00,113221066485.00,201397279203.00,2024-12-04 22:31:51,2025-11-05 01:24:15
0xeb6f0a13ea8c5a7a0514c25495adbe815c1025f0,124705,189535,64830,5530,435,524978750347.00,1201028024901.00,1726006775248.00,2024-06-07 13:59:02,2025-11-05 02:03:37
0x7f3c8979d0afa00007bae4747d5347122af05613,179243,179527,284,143,36,4596308470.00,11828979.00,4608137449.00,2025-04-03 22:46:20,2025-09-25 12:08:05
0x1489046ca0f9980fc2d9a950d103d3bec02c1307,137663,145976,8313,77,10,52338657100.00,61201742300.00,113540399400.00,2024-10-31 02:32:39,2025-10-08 23:48:05
0x8e9eedf20dfa70956d49f608a205e402d9df38e4,360492,366546,6054,93405,1856,485640575857.00,344962412893.00,830602988750.00,2024-12-06 17:37:59,2025-11-05 02:16:11
0xcce2b7c71f21e358b8e5e797e586cbc03160d58b,94730,205410,110680,194,45,53316652720.00,6319176099.00,59635828819.00,2024-08-22 12:20:46,2025-09-10 01:20:32
0x6770bf688b8121331b1c5cfd7723ebd4152545fb,12171,16715,4544,440,133,10289032150.00,17669181829.00,27958213979.00,2025-02-27 19:20:27,2025-10-28 19:55:43