wallet,condition_id,market_title,outcome_index,net_shares,cost_basis,realized_pnl,settlement_amount,resolved_at,winning_outcome
"0xcce2b7c71f21e358b8e5e797e586cbc03160d58b","df66cafe22fcba96db2c37d4dbdabf09cddfd53e78aef842a690818bc48d1797","Unknown",1,-13154.33,-5413.74,5413.74,0,"2025-07-28T20:03:14.000Z","YES"
"0xcce2b7c71f21e358b8e5e797e586cbc03160d58b","5f821786486260254ee77e0c208630dcf6ee299ef7b92f449b2c9399b5b91ca9","Unknown",1,-28114.1,-4849.47,4849.47,0,"2025-08-03T15:22:34.000Z","YES"
"0xcce2b7c71f21e358b8e5e797e586cbc03160d58b","fcb61a7e6160c0ab312a672cf9a953e7db86631c8880d208c0c4657b484e7bbc","Unknown",1,-38191.77,-3597.45,3597.45,0,"2025-09-09T10:24:46.000Z","YES"
"0xcce2b7c71f21e358b8e5e797e586cbc03160d58b","b405244a4d3f342769da666ab9b831c5b365c96496c62f4a986319fb24bba2aa","Unknown",1,-15696.75,-3109.27,3109.27,0,"2025-07-18T13:48:22.000Z","YES"
"0xcce2b7c71f21e358b8e5e797e586cbc03160d58b","6243e66f642801c54cb55780d9ccb43726649c92bf301773effc92834413fb0a","Unknown",1,-19583.11,-2992.34,2992.34,0,"2025-07-16T23:02:14.000Z","YES"
"0xcce2b7c71f21e358b8e5e797e586cbc03160d58b","e5269d1fb8f38bebefcc3f115f0cd23fffed6ded67a9648e3ee8ac8d899bdc01","Unknown",0,2509.76,406.07,2103.69,2509.76,"2025-04-11T02:03:34.000Z","YES"
"0xcce2b7c71f21e358b8e5e797e586cbc03160d58b","462efabdc4b48b4327564f0bfe0d12be8fab28470f9a7a5a863c81ce0a10057f","Unknown",1,-15000,-1949.98,1949.98,0,"2025-04-02T06:04:49.000Z","YES"
"0xcce2b7c71f21e358b8e5e797e586cbc03160d58b","5515514b83c9bb32c9dbfe8fbc48e166f4452849bfe42186e8f9b81cea56080b","Unknown",1,-24106.28,-967.25,967.25,0,"2025-09-10T09:41:10.000Z","YES"
"0xcce2b7c71f21e358b8e5e797e586cbc03160d58b","53c8f2b101f5a1e19af58e0a2ef11e8c9a15e805fa64f0f863eb04523c170ba9","Unknown",1,-17583.08,-888.29,888.29,0,"2024-09-11T08:35:35.000Z","YES"
"0xcce2b7c71f21e358b8e5e797e586cbc03160d58b","e81de7a34a57b2d8f4d8758d135de537f15c14c8f02ab7c31c1bac3df79b6dc4","Unknown",1,-12717.88,-828.53,828.53,0,"2024-09-21T04:57:06.000Z","YES"
"0xcce2b7c71f21e358b8e5e797e586cbc03160d58b","d5a77ecf592249098da312708d7d82f9791462a1a7444b984da01a6de7ccbef8","Unknown",1,-3391.04,-779.93,779.93,0,"2025-05-27T01:19:25.000Z","YES"
"0xcce2b7c71f21e358b8e5e797e586cbc03160d58b","bb5bb6936f86462b69fe7980543fa573824cb5c03339514597f5adfc3e571a5f","Unknown",1,-10461,-772.78,772.78,0,"2025-03-02T09:46:24.000Z","YES"
"0xcce2b7c71f21e358b8e5e797e586cbc03160d58b","743616811ce33f10ccf961a1d1782ac3563f73ff13a959d32ea34652692e197d","Unknown",1,-2044.88,-755.28,755.28,0,"2025-09-02T09:58:43.000Z","YES"
"0xcce2b7c71f21e358b8e5e797e586cbc03160d58b","53bff3cc2b20d20aaa9570725c498f854c3ddb3faf16592fd6ec82bd9c2b2377","Unknown",1,-1223,-514.66,514.66,0,"2025-09-03T00:09:20.000Z","YES"
"0xcce2b7c71f21e358b8e5e797e586cbc03160d58b","a4c8c86b7cbbea7a466faeae4d820cbb7eb2fb08c2796c3c559787151c3371b0","Unknown",1,-2223.222221,-422.41,422.41,0,"2025-03-02T09:46:24.000Z","YES"
"0xcce2b7c71f21e358b8e5e797e586cbc03160d58b","29c4a1892ba1407b154dc30ad1a14ae2ffb82e29675a6a64bb9d3916df079603","Unknown",1,-2500,-417,417,0,"2025-08-14T11:07:40.000Z","YES"
"0xcce2b7c71f21e358b8e5e797e586cbc03160d58b","3adfc04e3d1f1f7951fc62937a41b94446f80e704a7cba158583b7f475ff3e98","Unknown",1,-2366,-354.9,354.9,0,"2025-06-07T21:36:18.000Z","YES"
"0xcce2b7c71f21e358b8e5e797e586cbc03160d58b","9880403cdb553c93c412d1f8181f3e70bbce7cc6829983bd7477650ea1659756","Unknown",1,-3412.77,-345.64,345.64,0,"2024-08-22T15:27:58.000Z","YES"
"0xcce2b7c71f21e358b8e5e797e586cbc03160d58b","91ce7e65ccea15ba18cff9310ebf3cfbe98615d5765d526146a2b441afc112b3","Unknown",1,-6164.89,-344.9,344.9,0,"2025-07-29T14:22:29.000Z","YES"
"0xcce2b7c71f21e358b8e5e797e586cbc03160d58b","8a2d8c08d2a68fe11d925b206b1ea0ff4a27a6269c2a8bd9301a20126712bbf9","Unknown",1,-2088.640586,-337.74,337.74,0,"2025-04-01T09:48:41.000Z","YES"
"0xcce2b7c71f21e358b8e5e797e586cbc03160d58b","5a8dd1a17d96f01b1a5696d09473c9216a8d27d72df49c5bb14ac0f54276d168","Unknown",1,-3192.56,-331.17,331.17,0,"2025-01-21T12:52:19.000Z","YES"
"0xcce2b7c71f21e358b8e5e797e586cbc03160d58b","49db3eac75d3aacc750768e13249ef36e964d0f7894d7fd35918174aa3bee853","Unknown",1,-5690.48,-315.87,315.87,0,"2025-09-02T09:23:17.000Z","YES"
"0xcce2b7c71f21e358b8e5e797e586cbc03160d58b","511018b1d8b24ebb272dd4acd687a2087f4ff85e2d0613e325a42eb1b771d99b","Unknown",1,-6000,-310,310,0,"2025-01-21T12:52:19.000Z","YES"
"0xcce2b7c71f21e358b8e5e797e586cbc03160d58b","31fec09f74112b2ff90a4e9c689ae248fbd7f337a815b90a662da80fbd1bb381","Unknown",1,-600.58,-288.9,288.9,0,"2025-04-22T04:45:44.000Z","YES"
"0xcce2b7c71f21e358b8e5e797e586cbc03160d58b","96ad9c08a364f60a2f3ae52e0f77df4126aee89a8f237fc95863340288fc0ed1","Unknown",1,-5000,-249.99,249.99,0,"2025-01-21T13:28:56.000Z","YES"
"0xcce2b7c71f21e358b8e5e797e586cbc03160d58b","1474c6d9bc4c644c0b1c1cfff76d015db118517ba12efc3b3c35a57daa5ae4a1","Unknown",1,-3062,-245.48,245.48,0,"2025-03-08T07:14:26.000Z","YES"
"0xcce2b7c71f21e358b8e5e797e586cbc03160d58b","ed054095f5ac1ab787f0b54f1f6129036ddabeb997c16062d9ea5f3b79013b8d","Unknown",1,-2974.13,-210.23,210.23,0,"2025-03-23T23:44:52.000Z","YES"
"0xcce2b7c71f21e358b8e5e797e586cbc03160d58b","87d6e3bc2c02dc6f57acd24230e0d586207d3f9aa903465a67fe4156d3df816f","Unknown",1,-3805.6,-204.15,204.15,0,"2025-04-12T04:05:23.000Z","YES"
"0xcce2b7c71f21e358b8e5e797e586cbc03160d58b","603cd19fad56b9cfb5b61e83eb20a1c4b5c0213a0638fbe1a4cfe944f2ee0883","Unknown",1,-990,-198,198,0,"2025-07-02T19:50:31.000Z","YES"
"0xcce2b7c71f21e358b8e5e797e586cbc03160d58b","660561999ab5839c66a2c6939297c8ff133b0c7c9d889f0404ad436c122ebdfb","Unknown",1,-6450.91,-193.37,193.37,0,"2024-11-16T12:56:04.000Z","YES"
"0xcce2b7c71f21e358b8e5e797e586cbc03160d58b","2d8590ee55b3105e72a103f73fb766bdf30b60034d9fc332274339805dc3cc31","Unknown",1,-4339.13,-189.06,189.06,0,"2025-01-22T20:58:18.000Z","YES"
"0xcce2b7c71f21e358b8e5e797e586cbc03160d58b","7ee5af3f3c1a3dc54082aaa1e4c73641d14a66c33ca7ce2ccb1642c787b7114a","Unknown",1,-2565.49,-179.58,179.58,0,"2025-02-06T05:15:04.000Z","YES"
"0xcce2b7c71f21e358b8e5e797e586cbc03160d58b","8da3b518d328fbf9fc0749902cd4ad5a0d42a7e36bb014e4430d3e16583c5922","Unknown",1,-2938,-176.28,176.28,0,"2025-01-22T20:58:18.000Z","YES"
"0xcce2b7c71f21e358b8e5e797e586cbc03160d58b","be0580a17b9af85d1c802ffd13e17c7d0f5ae20f1de11f2a7bef57a84b558504","Unknown",1,-1247.71,-174.65,174.65,0,"2025-06-28T10:00:52.000Z","YES"
"0xcce2b7c71f21e358b8e5e797e586cbc03160d58b","67e682ed8d247e6a577ff79cc3f229aba4e92f40866713688006c887fd763a1f","Unknown",1,-3264.4,-163.72,163.72,0,"2025-04-27T03:10:24.000Z","YES"
"0xcce2b7c71f21e358b8e5e797e586cbc03160d58b","df505b139c53fddacb3f246837c5518ce519257733a56df387a3fe99c19994d0","Unknown",1,-1699.99,-152.99,152.99,0,"2025-03-08T06:38:48.000Z","YES"
"0xcce2b7c71f21e358b8e5e797e586cbc03160d58b","40f92d1cad678e27cac83c2c919560397da935e55d1ef67940b14e00213f18b2","Unknown",1,-4996.18,-152.85,152.85,0,"2024-11-14T03:07:47.000Z","YES"
"0xcce2b7c71f21e358b8e5e797e586cbc03160d58b","db44b463f55d035e5c3ec5090ac1c0cd9a360e29717bfd14daed56bcc8478006","Unknown",1,-61622.66,-144.89,144.89,0,"2025-08-14T14:44:28.000Z","YES"
"0xcce2b7c71f21e358b8e5e797e586cbc03160d58b","bf92c1cdf0be34538258ef237d6fd2ac0f4205d658f83e9485b8fb84e12c31b4","Unknown",1,-1188,-128.66,128.66,0,"2025-07-01T16:13:27.000Z","YES"
"0xcce2b7c71f21e358b8e5e797e586cbc03160d58b","eca8e13f90f5c33ad3156e3dd695a70cf96ff17fbcb2793b22f3a718a1667e09","Unknown",1,-3835.72,-128.66,128.66,0,"2024-11-01T20:39:36.000Z","YES"
"0xcce2b7c71f21e358b8e5e797e586cbc03160d58b","521c7c4652fb80210360dddcd3a1e817c7b332cf1ff2570a954a7166971de421","Unknown",1,-766,-126.9,126.9,0,"2025-06-02T21:28:23.000Z","YES"
"0xcce2b7c71f21e358b8e5e797e586cbc03160d58b","a9d3f6278d6866c13991bfe299763e47569d235ec35de96874061f0d6be5cf44","Unknown",1,-262.66,-126.07,126.07,0,"2025-09-04T05:10:40.000Z","YES"
"0xcce2b7c71f21e358b8e5e797e586cbc03160d58b","2603a898a013a7236751b6a22ce2858b492cd2a2a3368cb2ac17e6f7c50abb11","Unknown",1,-933.85,-112.06,112.06,0,"2025-02-02T04:06:19.000Z","YES"
"0xcce2b7c71f21e358b8e5e797e586cbc03160d58b","617a48b85ade498c14920582524a199cb7c993d7d3e42f70bfc3cbda96acb42e","Unknown",1,-950.58,-106.41,106.41,0,"2025-05-24T10:28:51.000Z","YES"
"0xcce2b7c71f21e358b8e5e797e586cbc03160d58b","409f3c772b44132c3762eb9f35d58c07fbc16ee2cc7a608900d791c469a51f37","Unknown",1,-1000,-100,100,0,"2025-02-01T02:45:04.000Z","YES"
"0xcce2b7c71f21e358b8e5e797e586cbc03160d58b","ce8cd85fe25fcfeaac338c75a51280ab00b4ee17ce67eced03b82cf4f722f6c0","Unknown",1,-1000,-100,100,0,"2025-08-03T21:16:47.000Z","YES"
"0xcce2b7c71f21e358b8e5e797e586cbc03160d58b","ceebbb64cf94ae6015a111425c945c22a74ccc4a2efe107d3b0ade6c41c1908f","Unknown",1,-699,-97.86,97.86,0,"2025-05-20T20:45:46.000Z","YES"
"0xcce2b7c71f21e358b8e5e797e586cbc03160d58b","b8dd943296eda43ce4bed1ed607521d207ff28d4e1df93b39fede7678b0ae427","Unknown",1,-1000,-90,90,0,"2025-04-27T03:10:24.000Z","YES"
"0xcce2b7c71f21e358b8e5e797e586cbc03160d58b","3e2e5c3b20a720eb80480bea402f4bef17ce3bbfabf7b361e4650cb961077a79","Unknown",1,-1785.68,-89.98,89.98,0,"2025-04-19T05:12:05.000Z","YES"
"0xcce2b7c71f21e358b8e5e797e586cbc03160d58b","5a6dd497ba5475722e93dc789df11bbc56449f479e307372371a4d0602e69ca5","Unknown",1,-1077.81,-86.58,86.58,0,"2025-04-27T03:46:22.000Z","YES"
"0xcce2b7c71f21e358b8e5e797e586cbc03160d58b","9ea7859564e2cdad1db53c3a07a3aa5a6e80420acf11ac178488a2afe1e5199c","Unknown",1,-267.1,-85.47,85.47,0,"2025-05-06T03:28:37.000Z","YES"
"0xcce2b7c71f21e358b8e5e797e586cbc03160d58b","b474fc92eb226a2f5e7a8c2544ba22f8764a9a175d52e481ffbe0ce1cc1e647c","Unknown",1,-500,-79.99,79.99,0,"2025-06-13T07:22:45.000Z","YES"
"0xcce2b7c71f21e358b8e5e797e586cbc03160d58b","e6dd4356896b2383840d55f4a95b88548417e421fe1d2679b6af9aedc09ec3af","Unknown",1,-3638.83,-79.08,79.08,0,"2025-02-02T03:59:11.000Z","YES"
"0xcce2b7c71f21e358b8e5e797e586cbc03160d58b","fb6e656e8d01ada2adbabfde7d85726009c0e00a63a80c0335aab4fa83f7ac0c","Unknown",1,-1600,-73.9,73.9,0,"2025-09-08T10:50:12.000Z","YES"
"0xcce2b7c71f21e358b8e5e797e586cbc03160d58b","92161b1924203df90e22f1f673c081dff8dc67c0171c41374736ffaaa51ca96d","Unknown",1,-2112.69,-73.34,73.34,0,"2024-11-17T07:07:24.000Z","YES"
"0xcce2b7c71f21e358b8e5e797e586cbc03160d58b","265dd68dcae6b573f36d00c7b3dcd6cd9358298090daf7dae180599575298b05","Unknown",1,-2529.07,-65.75,65.75,0,"2025-01-22T20:58:18.000Z","YES"
"0xcce2b7c71f21e358b8e5e797e586cbc03160d58b","666fc6e7543f95491f18488b071098240d06dcb3121b23bdf460e31b116c4c79","Unknown",1,-479,-65.6,65.6,0,"2025-08-12T22:22:47.000Z","YES"
"0xcce2b7c71f21e358b8e5e797e586cbc03160d58b","0b2c45597d8cdbfbc78f3cd1f08ff08244ab01272ace67b5b3d3df9af60ff294","Unknown",1,-2989.31,-55.48,55.48,0,"2024-08-25T04:12:38.000Z","YES"
"0xcce2b7c71f21e358b8e5e797e586cbc03160d58b","b5465e956840197be51ec67c2fe77eac8032bd4e226eb0e25e049d027887aad9","Unknown",1,-3000,-54,54,0,"2024-10-19T10:49:42.000Z","YES"
"0xcce2b7c71f21e358b8e5e797e586cbc03160d58b","7ec490002793f456ab4f64c03cf2b6c493bcef88d649068cd3cc6271d53023e5","Unknown",1,-1000,-53,53,0,"2025-10-15T07:15:01.000Z","YES"
"0xcce2b7c71f21e358b8e5e797e586cbc03160d58b","3cc691158572515a19f746603a8fd5b2174a3e73860c88d2120a1d9891b74b42","Unknown",1,-440.65,-52.87,52.87,0,"2025-01-28T17:19:36.000Z","YES"
"0xcce2b7c71f21e358b8e5e797e586cbc03160d58b","4eeffd82faeb5d511210307a742a00f6a92b223bcbac98dcc3e21c98e115668f","Unknown",1,-673.68,-51.79,51.79,0,"2025-02-24T08:05:02.000Z","YES"
"0xcce2b7c71f21e358b8e5e797e586cbc03160d58b","d7c014b675e422f96558e3506ceafaabe6eb20dd65e3ec722dee7cc38a2393f8","Unknown",1,-50970.3,-50.92,50.92,0,"2024-09-11T10:00:49.000Z","YES"
"0xcce2b7c71f21e358b8e5e797e586cbc03160d58b","bc70a86d229d533e92df501ae066739e215e6c535e7605471c373c9abc9e5098","Unknown",1,-500,-50,50,0,"2025-02-01T02:45:04.000Z","YES"
"0xcce2b7c71f21e358b8e5e797e586cbc03160d58b","240bdbee42603ea84ed43d2f149db5cc16bdafb8ff580c85ca15c9ceb1721558","Unknown",1,-480,-49.6,49.6,0,"2025-01-31T06:12:12.000Z","YES"
"0xcce2b7c71f21e358b8e5e797e586cbc03160d58b","45e58a988f21daed02ba1ffaae74280478569b6e638d81ec756cc5fbeec9022d","Unknown",1,-720,-41.31,41.31,0,"2025-02-02T03:59:11.000Z","YES"
"0xcce2b7c71f21e358b8e5e797e586cbc03160d58b","916a71ec610e9e216989e413f5a161c0a04733f09151d7cdeae7962c46bc57e3","Unknown",1,-969.68,-40.72,40.72,0,"2024-08-22T15:27:58.000Z","YES"
"0xcce2b7c71f21e358b8e5e797e586cbc03160d58b","77a17ba2accd013a7d5da8e07b522d74a6e2bb49f6079dd572ba70334221da03","Unknown",1,-959.51,-38.38,38.38,0,"2025-03-08T06:38:48.000Z","YES"
"0xcce2b7c71f21e358b8e5e797e586cbc03160d58b","e01507cbf4ee5e63a3deb2b08d35c4ea9f3ca04baa0f87ad34b45b97b8353b57","Unknown",1,-965.56,-37.65,37.65,0,"2024-11-07T09:34:22.000Z","YES"
